type,sentence
singular,I found the [wug] near the pond.
singular,I noticed the [wug] under the lamp.
singular,We spotted the [wug] behind the tree.
singular,They pointed at the [wug] in the corner.
singular,I photographed the [wug] by the fence.
singular,We watched the [wug] near the gate.
singular,I drew a picture of the [wug].
singular,They painted the [wug] on the wall.
singular,I described the [wug] to my friend.
singular,We talked about the [wug] for a while.
singular,I took a photo of the [wug] outside.
singular,They discovered the [wug] near the river.
singular,I sketched the [wug] from memory.
singular,We noticed the [wug] close to the door.
singular,Look at the [wug] over there.
singular,Here is a picture of the [wug].
plural,I found the [wugs] near the pond.
plural,I noticed the [wugs] under the lamp.
plural,We spotted the [wugs] behind the tree.
plural,They pointed at the [wugs] in the corner.
plural,I photographed the [wugs] by the fence.
plural,We watched the [wugs] near the gate.
plural,I drew a picture of the [wugs].
plural,They painted the [wugs] on the wall.
plural,I described the [wugs] to my friend.
plural,We talked about the [wugs] for a while.
plural,I took a photo of the [wugs] outside.
plural,They discovered the [wugs] near the river.
plural,I sketched the [wugs] from memory.
plural,We noticed the [wugs] close to the door.
plural,Look at the [wugs] over there.
plural,Here is a picture of the [wugs].
